"seed","n","p","q","arm","ok","healthy","beta_rmse","sigma_rel_frob","frob_Shat","sigma_collapse","sigma_runaway","phi_mean","max_g_fe","max_abs_loading","secs","pass_abs","err"
11407,1000,8,2,"gtmb_la",TRUE,TRUE,0.0291675458380904,0.187349756979592,1.21662307880043,FALSE,FALSE,4.90127229771412,0.000601893221905292,0.553389754746389,2.08699999999999,TRUE,NA
11407,1000,8,2,"gllvm_la",TRUE,TRUE,0.0668284137804333,0.668371337565002,0.471368237243496,FALSE,FALSE,4.90982339957868,NA,0.343957214446725,38.046,FALSE,NA
11407,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11408,1000,8,2,"gtmb_va",TRUE,FALSE,0.0255980500672324,0.170360917076568,1.26575202528641,FALSE,FALSE,5.04492112407621,0.000114468921460636,NA,53.161,TRUE,"status=failed_health_gate"
11408,1000,8,2,"gtmb_la",TRUE,TRUE,0.0256475861210659,0.207452498375888,1.16781062791,FALSE,FALSE,4.96798251830093,0.000383109876836318,0.583751450053753,2.116,TRUE,NA
11408,1000,8,2,"gllvm_la",TRUE,TRUE,0.0734748366375917,0.677652105242933,0.456199287972509,FALSE,FALSE,4.98538292252617,NA,0.372114379317069,24.252,FALSE,NA
11408,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11409,1000,8,2,"gtmb_va",TRUE,FALSE,0.0391795974147889,0.193011150565948,1.13948459506529,FALSE,FALSE,5.17145797409784,0.000113982340877773,NA,54.59,TRUE,"status=failed_health_gate"
11409,1000,8,2,"gtmb_la",TRUE,TRUE,0.038351224852363,0.244155746608564,0.969775222331438,FALSE,FALSE,5.03496351369227,0.000685894448143376,0.597347349827477,1.92299999999999,TRUE,NA
11409,1000,8,2,"gllvm_la",TRUE,TRUE,0.060306940173498,0.713846199626209,0.348526679146748,FALSE,FALSE,4.91223611920897,NA,0.359519659290931,31.005,FALSE,NA
11409,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11410,1000,8,2,"gtmb_va",TRUE,FALSE,0.0297460210896462,0.10810584062599,1.74555919351605,FALSE,FALSE,4.96969558613821,9.46126285021887e-05,NA,53.533,TRUE,"status=failed_health_gate"
11410,1000,8,2,"gtmb_la",TRUE,TRUE,0.0297853788865703,0.131455596254492,1.64458363146961,FALSE,FALSE,4.93377245646588,0.000799716276429496,0.753647066196933,1.961,TRUE,NA
11410,1000,8,2,"gllvm_la",TRUE,TRUE,0.0624225186964615,0.64065040821646,0.628683296839786,FALSE,FALSE,4.93750078069626,NA,0.463533701824166,25.27,FALSE,NA
11410,1000,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.000999999999976353,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11411,1000,8,2,"gtmb_va",TRUE,FALSE,0.0305194295118575,0.115701079733393,1.26651969045775,FALSE,FALSE,5.06413246155469,0.000233823026955404,NA,52.57,TRUE,"status=failed_health_gate"
